Branch,Wilcoxon (Orig vs Tree) p-value,Wilcoxon (Orig vs BSU) p-value,Wilcoxon (BSU vs Tree) p-value,"Friedman (Orig, BSU, Tree) p-value"
NUnet - CVC-ClinicDB,2.1389861292571395e-06,,,
NUnet - ISAC_2018,1.8425732737997434e-33,,,
PolypPVT - CVC-ClinicDB,1.7037645226884546e-09,,,
PolypPVT - ISAC_2018,5.358264997378731e-26,,,
Unet - CVC-ClinicDB,4.4485219412946425e-09,0.8024101737410623,1.7251441075544728e-05,9.078041051621427e-12
Unet - ISAC_2018,5.6516468346179034e-102,2.2546139487618343e-20,1.9656189609090944e-63,1.3214468611046638e-149
