Branch,Original vs Tree_NET,Original vs BSU-NET,BSU-NET vs Tree_NET,"Friedman (Orig, BSU, Tree)"
NUnet - CVC-ClinicDB,-,-,-,-
NUnet - ISAC_2018,-,-,-,-
PolypPVT - CVC-ClinicDB,-,-,-,-
PolypPVT - ISAC_2018,-,-,-,-
Unet - CVC-ClinicDB,-,-,-,-
Unet - ISAC_2018,-,-,-,-
