[2024-11-30 04:59:42 PM-train - unet.py-INFO:epoch: 10, dataset: CVC-ClinicDB, dice: 0.5315975806451614]
[2024-11-30 04:59:49 PM-train - unet.py-INFO:epoch: 10, dataset: Kvasir, dice: 0.12395199999999999]
[2024-11-30 05:00:17 PM-train - unet.py-INFO:epoch: 10, dataset: CVC-ColonDB, dice: 0.21116815789473706]
[2024-11-30 05:00:44 PM-train - unet.py-INFO:epoch: 10, dataset: ETIS-LaribPolypDB, dice: 0.036570918367346945]
[2024-11-30 05:01:35 PM-train - unet.py-INFO:epoch: 11, dataset: CVC-300, dice: 0.45005833333333317]
[2024-11-30 05:01:46 PM-train - unet.py-INFO:epoch: 11, dataset: CVC-ClinicDB, dice: 0.5967822580645161]
[2024-11-30 05:01:56 PM-train - unet.py-INFO:epoch: 11, dataset: Kvasir, dice: 0.3067419999999999]
[2024-11-30 05:02:33 PM-train - unet.py-INFO:epoch: 11, dataset: CVC-ColonDB, dice: 0.31902815789473693]
[2024-11-30 05:03:01 PM-train - unet.py-INFO:epoch: 11, dataset: ETIS-LaribPolypDB, dice: 0.11489948979591832]
[2024-11-30 05:03:53 PM-train - unet.py-INFO:epoch: 12, dataset: CVC-300, dice: 0.4297483333333334]
[2024-11-30 05:04:04 PM-train - unet.py-INFO:epoch: 12, dataset: CVC-ClinicDB, dice: 0.6615338709677416]
[2024-11-30 05:04:14 PM-train - unet.py-INFO:epoch: 12, dataset: Kvasir, dice: 0.28325700000000004]
[2024-11-30 05:04:52 PM-train - unet.py-INFO:epoch: 12, dataset: CVC-ColonDB, dice: 0.3247981578947371]
[2024-11-30 05:05:20 PM-train - unet.py-INFO:epoch: 12, dataset: ETIS-LaribPolypDB, dice: 0.09229744897959175]
[2024-11-30 05:05:25 PM-train - unet.py-INFO:##############################################################################best:0.7361196721311476]
[2024-11-30 05:06:11 PM-train - unet.py-INFO:epoch: 13, dataset: CVC-300, dice: 0.29727500000000007]
[2024-11-30 05:06:22 PM-train - unet.py-INFO:epoch: 13, dataset: CVC-ClinicDB, dice: 0.36859596774193526]
[2024-11-30 05:06:32 PM-train - unet.py-INFO:epoch: 13, dataset: Kvasir, dice: 0.3725670000000001]
[2024-11-30 05:07:08 PM-train - unet.py-INFO:epoch: 13, dataset: CVC-ColonDB, dice: 0.22351842105263173]
[2024-11-30 05:07:36 PM-train - unet.py-INFO:epoch: 13, dataset: ETIS-LaribPolypDB, dice: 0.1633030612244898]
[2024-11-30 05:08:27 PM-train - unet.py-INFO:epoch: 14, dataset: CVC-300, dice: 0.24884166666666666]
[2024-11-30 05:08:37 PM-train - unet.py-INFO:epoch: 14, dataset: CVC-ClinicDB, dice: 0.7068991935483874]
[2024-11-30 05:08:47 PM-train - unet.py-INFO:epoch: 14, dataset: Kvasir, dice: 0.4948920000000003]
[2024-11-30 05:09:23 PM-train - unet.py-INFO:epoch: 14, dataset: CVC-ColonDB, dice: 0.35080131578947366]
[2024-11-30 05:09:50 PM-train - unet.py-INFO:epoch: 14, dataset: ETIS-LaribPolypDB, dice: 0.18336581632653076]
[2024-11-30 05:09:56 PM-train - unet.py-INFO:##############################################################################best:0.7814819672131147]
[2024-11-30 05:10:41 PM-train - unet.py-INFO:epoch: 15, dataset: CVC-300, dice: 0.4691816666666665]
[2024-11-30 05:10:51 PM-train - unet.py-INFO:epoch: 15, dataset: CVC-ClinicDB, dice: 0.7196943548387097]
[2024-11-30 05:11:01 PM-train - unet.py-INFO:epoch: 15, dataset: Kvasir, dice: 0.4455760000000001]
[2024-11-30 05:11:37 PM-train - unet.py-INFO:epoch: 15, dataset: CVC-ColonDB, dice: 0.41591078947368415]
[2024-11-30 05:12:05 PM-train - unet.py-INFO:epoch: 15, dataset: ETIS-LaribPolypDB, dice: 0.15055153061224488]
[2024-11-30 05:12:55 PM-train - unet.py-INFO:epoch: 16, dataset: CVC-300, dice: 0.3743966666666667]
[2024-11-30 05:13:06 PM-train - unet.py-INFO:epoch: 16, dataset: CVC-ClinicDB, dice: 0.7509362903225805]
[2024-11-30 05:13:16 PM-train - unet.py-INFO:epoch: 16, dataset: Kvasir, dice: 0.4620619999999998]
[2024-11-30 05:13:52 PM-train - unet.py-INFO:epoch: 16, dataset: CVC-ColonDB, dice: 0.4101113157894738]
[2024-11-30 05:14:19 PM-train - unet.py-INFO:epoch: 16, dataset: ETIS-LaribPolypDB, dice: 0.23142755102040813]
[2024-11-30 05:14:25 PM-train - unet.py-INFO:##############################################################################best:0.7949459016393443]
[2024-11-30 05:15:10 PM-train - unet.py-INFO:epoch: 17, dataset: CVC-300, dice: 0.37732999999999994]
[2024-11-30 05:15:21 PM-train - unet.py-INFO:epoch: 17, dataset: CVC-ClinicDB, dice: 0.543125806451613]
[2024-11-30 05:15:31 PM-train - unet.py-INFO:epoch: 17, dataset: Kvasir, dice: 0.2577689999999999]
[2024-11-30 05:16:07 PM-train - unet.py-INFO:epoch: 17, dataset: CVC-ColonDB, dice: 0.3179597368421056]
[2024-11-30 05:16:35 PM-train - unet.py-INFO:epoch: 17, dataset: ETIS-LaribPolypDB, dice: 0.058640306122448936]
[2024-11-30 05:17:26 PM-train - unet.py-INFO:epoch: 18, dataset: CVC-300, dice: 0.3934266666666667]
[2024-11-30 05:17:37 PM-train - unet.py-INFO:epoch: 18, dataset: CVC-ClinicDB, dice: 0.7672129032258066]
[2024-11-30 05:17:47 PM-train - unet.py-INFO:epoch: 18, dataset: Kvasir, dice: 0.48423]
[2024-11-30 05:18:23 PM-train - unet.py-INFO:epoch: 18, dataset: CVC-ColonDB, dice: 0.44485473684210564]
[2024-11-30 05:18:50 PM-train - unet.py-INFO:epoch: 18, dataset: ETIS-LaribPolypDB, dice: 0.16658061224489798]
[2024-11-30 05:18:56 PM-train - unet.py-INFO:##############################################################################best:0.8048278688524593]
[2024-11-30 05:19:42 PM-train - unet.py-INFO:epoch: 19, dataset: CVC-300, dice: 0.5566733333333332]
[2024-11-30 05:19:53 PM-train - unet.py-INFO:epoch: 19, dataset: CVC-ClinicDB, dice: 0.7721193548387099]
[2024-11-30 05:20:03 PM-train - unet.py-INFO:epoch: 19, dataset: Kvasir, dice: 0.5410870000000003]
[2024-11-30 05:20:39 PM-train - unet.py-INFO:epoch: 19, dataset: CVC-ColonDB, dice: 0.47612947368421094]
[2024-11-30 05:21:08 PM-train - unet.py-INFO:epoch: 19, dataset: ETIS-LaribPolypDB, dice: 0.24560306122448983]
[2024-11-30 05:22:00 PM-train - unet.py-INFO:epoch: 20, dataset: CVC-300, dice: 0.6949499999999997]
[2024-11-30 05:22:10 PM-train - unet.py-INFO:epoch: 20, dataset: CVC-ClinicDB, dice: 0.7430040322580643]
[2024-11-30 05:22:20 PM-train - unet.py-INFO:epoch: 20, dataset: Kvasir, dice: 0.5561019999999999]
[2024-11-30 05:22:57 PM-train - unet.py-INFO:epoch: 20, dataset: CVC-ColonDB, dice: 0.47411973684210595]
[2024-11-30 05:23:25 PM-train - unet.py-INFO:epoch: 20, dataset: ETIS-LaribPolypDB, dice: 0.2815056122448981]
[2024-11-30 05:24:17 PM-train - unet.py-INFO:epoch: 21, dataset: CVC-300, dice: 0.4747700000000001]
[2024-11-30 05:24:28 PM-train - unet.py-INFO:epoch: 21, dataset: CVC-ClinicDB, dice: 0.7545217741935484]
[2024-11-30 05:24:38 PM-train - unet.py-INFO:epoch: 21, dataset: Kvasir, dice: 0.474886]
[2024-11-30 05:25:15 PM-train - unet.py-INFO:epoch: 21, dataset: CVC-ColonDB, dice: 0.4304357894736844]
[2024-11-30 05:25:40 PM-train - unet.py-INFO:epoch: 21, dataset: ETIS-LaribPolypDB, dice: 0.1586204081632653]
[2024-11-30 05:26:17 PM-train - unet.py-INFO:epoch: 22, dataset: CVC-300, dice: 0.6124366666666666]
[2024-11-30 05:26:24 PM-train - unet.py-INFO:epoch: 22, dataset: CVC-ClinicDB, dice: 0.8088193548387095]
[2024-11-30 05:26:31 PM-train - unet.py-INFO:epoch: 22, dataset: Kvasir, dice: 0.570015]
[2024-11-30 05:26:57 PM-train - unet.py-INFO:epoch: 22, dataset: CVC-ColonDB, dice: 0.42007026315789475]
[2024-11-30 05:27:17 PM-train - unet.py-INFO:epoch: 22, dataset: ETIS-LaribPolypDB, dice: 0.19654183673469386]
[2024-11-30 05:27:21 PM-train - unet.py-INFO:##############################################################################best:0.8496737704918031]
[2024-11-30 05:27:53 PM-train - unet.py-INFO:epoch: 23, dataset: CVC-300, dice: 0.5795883333333333]
[2024-11-30 05:28:01 PM-train - unet.py-INFO:epoch: 23, dataset: CVC-ClinicDB, dice: 0.8121411290322579]
[2024-11-30 05:28:07 PM-train - unet.py-INFO:epoch: 23, dataset: Kvasir, dice: 0.4604350000000001]
[2024-11-30 05:28:33 PM-train - unet.py-INFO:epoch: 23, dataset: CVC-ColonDB, dice: 0.4543813157894735]
[2024-11-30 05:28:53 PM-train - unet.py-INFO:epoch: 23, dataset: ETIS-LaribPolypDB, dice: 0.12369234693877543]
[2024-11-30 05:28:57 PM-train - unet.py-INFO:##############################################################################best:0.8635639344262293]
[2024-11-30 05:29:29 PM-train - unet.py-INFO:epoch: 24, dataset: CVC-300, dice: 0.6237183333333334]
[2024-11-30 05:29:36 PM-train - unet.py-INFO:epoch: 24, dataset: CVC-ClinicDB, dice: 0.7438088709677421]
[2024-11-30 05:29:43 PM-train - unet.py-INFO:epoch: 24, dataset: Kvasir, dice: 0.4800229999999999]
[2024-11-30 05:30:08 PM-train - unet.py-INFO:epoch: 24, dataset: CVC-ColonDB, dice: 0.45505578947368436]
[2024-11-30 05:30:28 PM-train - unet.py-INFO:epoch: 24, dataset: ETIS-LaribPolypDB, dice: 0.187862755102041]
[2024-11-30 05:31:04 PM-train - unet.py-INFO:epoch: 25, dataset: CVC-300, dice: 0.7337016666666667]
[2024-11-30 05:31:12 PM-train - unet.py-INFO:epoch: 25, dataset: CVC-ClinicDB, dice: 0.7986080645161289]
[2024-11-30 05:31:19 PM-train - unet.py-INFO:epoch: 25, dataset: Kvasir, dice: 0.530137]
