[2024-11-28 073409 PM-train_isic.py-INFOepoch 64, dataset test, dice 0.8768859000000009]
[2024-11-28 074803 PM-train_isic.py-INFOepoch 65, dataset test, dice 0.8873285000000006]
[2024-11-28 080202 PM-train_isic.py-INFOepoch 66, dataset test, dice 0.8809693999999998]
[2024-11-28 081621 PM-train_isic.py-INFOepoch 67, dataset test, dice 0.8845319000000001]
[2024-11-28 082946 PM-train_isic.py-INFOepoch 68, dataset test, dice 0.8853983000000003]
[2024-11-28 084307 PM-train_isic.py-INFOepoch 69, dataset test, dice 0.8922254999999985]
[2024-11-28 085633 PM-train_isic.py-INFOepoch 70, dataset test, dice 0.8819101000000005]
[2024-11-28 090956 PM-train_isic.py-INFOepoch 71, dataset test, dice 0.8781918000000002]
[2024-11-28 092320 PM-train_isic.py-INFOepoch 72, dataset test, dice 0.8786034999999998]
[2024-11-28 093641 PM-train_isic.py-INFOepoch 73, dataset test, dice 0.8896369000000007]
[2024-11-28 095007 PM-train_isic.py-INFOepoch 74, dataset test, dice 0.8845711000000004]
[2024-11-28 100331 PM-train_isic.py-INFOepoch 75, dataset test, dice 0.8913718999999998]
[2024-11-28 101652 PM-train_isic.py-INFOepoch 76, dataset test, dice 0.8850295000000001]
[2024-11-28 103017 PM-train_isic.py-INFOepoch 77, dataset test, dice 0.8875165000000002]
[2024-11-28 104357 PM-train_isic.py-INFOepoch 78, dataset test, dice 0.884326899999999]
[2024-11-28 105726 PM-train_isic.py-INFOepoch 79, dataset test, dice 0.8855451999999989]
[2024-11-28 111050 PM-train_isic.py-INFOepoch 80, dataset test, dice 0.8848660999999991]
[2024-11-28 112416 PM-train_isic.py-INFOepoch 81, dataset test, dice 0.8903482000000014]
[2024-11-28 113740 PM-train_isic.py-INFOepoch 82, dataset test, dice 0.8874923000000003]
[2024-11-28 115103 PM-train_isic.py-INFOepoch 83, dataset test, dice 0.8815371]
[2024-11-29 110508 AM-train_isic.py-INFOepoch 84, dataset test, dice 0.8846547000000017]
[2024-11-29 111744 AM-train_isic.py-INFOepoch 85, dataset test, dice 0.8900164000000006]
[2024-11-29 113238 AM-train_isic.py-INFOepoch 86, dataset test, dice 0.8798759000000005]
[2024-11-29 114622 AM-train_isic.py-INFOepoch 87, dataset test, dice 0.8858068999999995]
[2024-11-29 115951 AM-train_isic.py-INFOepoch 88, dataset test, dice 0.8752014999999995]
[2024-11-29 121322 PM-train_isic.py-INFOepoch 89, dataset test, dice 0.8880413000000005]
[2024-11-29 122655 PM-train_isic.py-INFOepoch 90, dataset test, dice 0.8846969999999996]
[2024-11-29 124031 PM-train_isic.py-INFOepoch 91, dataset test, dice 0.8889564999999997]
[2024-11-29 125418 PM-train_isic.py-INFOepoch 92, dataset test, dice 0.8892049]
[2024-11-29 010802 PM-train_isic.py-INFOepoch 93, dataset test, dice 0.8879474]
[2024-11-29 012256 PM-train_isic.py-INFOepoch 94, dataset test, dice 0.8885299999999997]
[2024-11-29 013757 PM-train_isic.py-INFOepoch 95, dataset test, dice 0.887889399999999]
[2024-11-29 014957 PM-train_isic.py-INFOepoch 96, dataset test, dice 0.8852284]
[2024-11-29 020103 PM-train_isic.py-INFOepoch 97, dataset test, dice 0.8878338000000001]
[2024-11-29 021232 PM-train_isic.py-INFOepoch 98, dataset test, dice 0.8830175999999997]
[2024-11-29 022735 PM-train_isic.py-INFOepoch 99, dataset test, dice 0.8877414000000003]
