[2024-12-02 04:17:08 PM-train - unet.py-INFO:epoch: 28, dataset: CVC-ColonDB, dice: 0.36948815789473743]
[2024-12-02 04:17:32 PM-train - unet.py-INFO:epoch: 28, dataset: ETIS-LaribPolypDB, dice: 0.07778520408163259]
[2024-12-02 04:18:28 PM-train - unet.py-INFO:epoch: 29, dataset: CVC-300, dice: 0.5683733333333335]
[2024-12-02 04:18:49 PM-train - unet.py-INFO:epoch: 29, dataset: CVC-ClinicDB, dice: 0.7966395161290327]
[2024-12-02 04:19:07 PM-train - unet.py-INFO:epoch: 29, dataset: Kvasir, dice: 0.554054]
[2024-12-02 04:20:16 PM-train - unet.py-INFO:epoch: 29, dataset: CVC-ColonDB, dice: 0.46378552631579006]
[2024-12-02 04:21:00 PM-train - unet.py-INFO:epoch: 29, dataset: ETIS-LaribPolypDB, dice: 0.17037806122448987]
[2024-12-02 04:22:17 PM-train - unet.py-INFO:epoch: 30, dataset: CVC-300, dice: 0.4106516666666666]
[2024-12-02 04:22:38 PM-train - unet.py-INFO:epoch: 30, dataset: CVC-ClinicDB, dice: 0.7922129032258065]
[2024-12-02 04:22:56 PM-train - unet.py-INFO:epoch: 30, dataset: Kvasir, dice: 0.48312900000000025]
[2024-12-02 04:24:04 PM-train - unet.py-INFO:epoch: 30, dataset: CVC-ColonDB, dice: 0.467693157894737]
[2024-12-02 04:24:48 PM-train - unet.py-INFO:epoch: 30, dataset: ETIS-LaribPolypDB, dice: 0.22606632653061248]
[2024-12-02 04:26:04 PM-train - unet.py-INFO:epoch: 31, dataset: CVC-300, dice: 0.6634283333333335]
[2024-12-02 04:26:25 PM-train - unet.py-INFO:epoch: 31, dataset: CVC-ClinicDB, dice: 0.8520596774193551]
[2024-12-02 04:26:43 PM-train - unet.py-INFO:epoch: 31, dataset: Kvasir, dice: 0.5434209999999999]
[2024-12-02 04:27:52 PM-train - unet.py-INFO:epoch: 31, dataset: CVC-ColonDB, dice: 0.4665394736842113]
[2024-12-02 04:28:37 PM-train - unet.py-INFO:epoch: 31, dataset: ETIS-LaribPolypDB, dice: 0.2400540816326531]
[2024-12-02 04:28:48 PM-train - unet.py-INFO:##############################################################################best:0.8769918032786885]
[2024-12-02 04:29:56 PM-train - unet.py-INFO:epoch: 32, dataset: CVC-300, dice: 0.22405333333333333]
[2024-12-02 04:30:18 PM-train - unet.py-INFO:epoch: 32, dataset: CVC-ClinicDB, dice: 0.3836685483870967]
[2024-12-02 04:30:37 PM-train - unet.py-INFO:epoch: 32, dataset: Kvasir, dice: 0.2886819999999999]
[2024-12-02 04:31:47 PM-train - unet.py-INFO:epoch: 32, dataset: CVC-ColonDB, dice: 0.2240473684210529]
[2024-12-02 04:32:33 PM-train - unet.py-INFO:epoch: 32, dataset: ETIS-LaribPolypDB, dice: 0.14836632653061235]
[2024-12-02 04:33:50 PM-train - unet.py-INFO:epoch: 33, dataset: CVC-300, dice: 0.5881666666666667]
[2024-12-02 04:34:11 PM-train - unet.py-INFO:epoch: 33, dataset: CVC-ClinicDB, dice: 0.865158870967742]
[2024-12-02 04:34:30 PM-train - unet.py-INFO:epoch: 33, dataset: Kvasir, dice: 0.5427379999999999]
[2024-12-02 04:35:37 PM-train - unet.py-INFO:epoch: 33, dataset: CVC-ColonDB, dice: 0.4707092105263158]
