[2024-10-19 01:42:52 PM-train.py-INFO:epoch: 11, dataset: CVC-ClinicDB, dice: 0.887775806451613]
[2024-10-19 01:42:55 PM-train.py-INFO:epoch: 11, dataset: Kvasir, dice: 0.9079110000000001]
[2024-10-19 01:43:08 PM-train.py-INFO:epoch: 11, dataset: CVC-ColonDB, dice: 0.7829315789473684]
[2024-10-19 01:43:21 PM-train.py-INFO:epoch: 11, dataset: ETIS-LaribPolypDB, dice: 0.7500005102040818]
[2024-10-19 01:45:21 PM-train.py-INFO:epoch: 12, dataset: CVC-300, dice: 0.892868333333333]
[2024-10-19 01:45:22 PM-train.py-INFO:epoch: 12, dataset: CVC-ClinicDB, dice: 0.9357741935483872]
[2024-10-19 01:45:26 PM-train.py-INFO:epoch: 12, dataset: Kvasir, dice: 0.9130250000000002]
[2024-10-19 01:45:38 PM-train.py-INFO:epoch: 12, dataset: CVC-ColonDB, dice: 0.7913299999999996]
[2024-10-19 01:45:51 PM-train.py-INFO:epoch: 12, dataset: ETIS-LaribPolypDB, dice: 0.7835642857142855]
[2024-10-19 01:46:23 PM-train.py-INFO:##############################################################################best:0.8235295739348378]
[2024-10-19 01:47:53 PM-train.py-INFO:epoch: 13, dataset: CVC-300, dice: 0.8793699999999999]
[2024-10-19 01:47:55 PM-train.py-INFO:epoch: 13, dataset: CVC-ClinicDB, dice: 0.9172838709677416]
[2024-10-19 01:47:58 PM-train.py-INFO:epoch: 13, dataset: Kvasir, dice: 0.8756440000000005]
[2024-10-19 01:48:10 PM-train.py-INFO:epoch: 13, dataset: CVC-ColonDB, dice: 0.7519507894736848]
[2024-10-19 01:48:24 PM-train.py-INFO:epoch: 13, dataset: ETIS-LaribPolypDB, dice: 0.7830428571428564]
[2024-10-19 01:50:26 PM-train.py-INFO:epoch: 14, dataset: CVC-300, dice: 0.8806516666666665]
[2024-10-19 01:50:27 PM-train.py-INFO:epoch: 14, dataset: CVC-ClinicDB, dice: 0.8907806451612905]
[2024-10-19 01:50:30 PM-train.py-INFO:epoch: 14, dataset: Kvasir, dice: 0.9046860000000002]
[2024-10-19 01:50:42 PM-train.py-INFO:epoch: 14, dataset: CVC-ColonDB, dice: 0.7909531578947366]
[2024-10-19 01:50:55 PM-train.py-INFO:epoch: 14, dataset: ETIS-LaribPolypDB, dice: 0.7196326530612245]
[2024-10-19 01:52:56 PM-train.py-INFO:epoch: 15, dataset: CVC-300, dice: 0.8955183333333333]
[2024-10-19 01:52:58 PM-train.py-INFO:epoch: 15, dataset: CVC-ClinicDB, dice: 0.9047661290322581]
[2024-10-19 01:53:01 PM-train.py-INFO:epoch: 15, dataset: Kvasir, dice: 0.90774]
[2024-10-19 01:53:14 PM-train.py-INFO:epoch: 15, dataset: CVC-ColonDB, dice: 0.7853086842105268]
[2024-10-19 01:53:27 PM-train.py-INFO:epoch: 15, dataset: ETIS-LaribPolypDB, dice: 0.790643367346939]
[2024-10-19 01:55:30 PM-train.py-INFO:epoch: 16, dataset: CVC-300, dice: 0.8793333333333333]
[2024-10-19 01:55:32 PM-train.py-INFO:epoch: 16, dataset: CVC-ClinicDB, dice: 0.904933870967742]
[2024-10-19 01:55:35 PM-train.py-INFO:epoch: 16, dataset: Kvasir, dice: 0.9036060000000006]
[2024-10-19 01:55:47 PM-train.py-INFO:epoch: 16, dataset: CVC-ColonDB, dice: 0.7980052631578956]
[2024-10-19 01:56:00 PM-train.py-INFO:epoch: 16, dataset: ETIS-LaribPolypDB, dice: 0.7997877551020408]
[2024-10-19 01:56:32 PM-train.py-INFO:##############################################################################best:0.8260988721804511]
[2024-10-19 01:58:03 PM-train.py-INFO:epoch: 17, dataset: CVC-300, dice: 0.8308366666666671]
[2024-10-19 01:58:04 PM-train.py-INFO:epoch: 17, dataset: CVC-ClinicDB, dice: 0.8902112903225806]
[2024-10-19 01:58:07 PM-train.py-INFO:epoch: 17, dataset: Kvasir, dice: 0.8805180000000001]
[2024-10-19 01:58:19 PM-train.py-INFO:epoch: 17, dataset: CVC-ColonDB, dice: 0.7528013157894726]
[2024-10-19 01:58:32 PM-train.py-INFO:epoch: 17, dataset: ETIS-LaribPolypDB, dice: 0.7665760204081631]
[2024-10-19 02:00:34 PM-train.py-INFO:epoch: 18, dataset: CVC-300, dice: 0.8256149999999999]
[2024-10-19 02:00:35 PM-train.py-INFO:epoch: 18, dataset: CVC-ClinicDB, dice: 0.8822903225806453]
[2024-10-19 02:00:39 PM-train.py-INFO:epoch: 18, dataset: Kvasir, dice: 0.878416]
[2024-10-19 02:00:51 PM-train.py-INFO:epoch: 18, dataset: CVC-ColonDB, dice: 0.7210871052631577]
[2024-10-19 02:01:04 PM-train.py-INFO:epoch: 18, dataset: ETIS-LaribPolypDB, dice: 0.6710540816326529]
[2024-10-19 02:03:07 PM-train.py-INFO:epoch: 19, dataset: CVC-300, dice: 0.8759166666666667]
[2024-10-19 02:03:08 PM-train.py-INFO:epoch: 19, dataset: CVC-ClinicDB, dice: 0.908343548387097]
[2024-10-19 02:03:11 PM-train.py-INFO:epoch: 19, dataset: Kvasir, dice: 0.903701]
[2024-10-19 02:03:23 PM-train.py-INFO:epoch: 19, dataset: CVC-ColonDB, dice: 0.8019010526315787]
[2024-10-19 02:03:36 PM-train.py-INFO:epoch: 19, dataset: ETIS-LaribPolypDB, dice: 0.7805785714285719]
[2024-10-19 02:05:36 PM-train.py-INFO:epoch: 20, dataset: CVC-300, dice: 0.8740433333333336]
[2024-10-19 02:05:37 PM-train.py-INFO:epoch: 20, dataset: CVC-ClinicDB, dice: 0.9201016129032257]
[2024-10-19 02:05:41 PM-train.py-INFO:epoch: 20, dataset: Kvasir, dice: 0.9140210000000001]
[2024-10-19 02:05:53 PM-train.py-INFO:epoch: 20, dataset: CVC-ColonDB, dice: 0.7967907894736848]
[2024-10-19 02:06:06 PM-train.py-INFO:epoch: 20, dataset: ETIS-LaribPolypDB, dice: 0.7990663265306122]
[2024-10-19 02:06:37 PM-train.py-INFO:##############################################################################best:0.8274291979949872]
[2024-10-19 02:08:08 PM-train.py-INFO:epoch: 21, dataset: CVC-300, dice: 0.8347683333333334]
[2024-10-19 02:08:09 PM-train.py-INFO:epoch: 21, dataset: CVC-ClinicDB, dice: 0.912806451612903]
[2024-10-19 02:08:13 PM-train.py-INFO:epoch: 21, dataset: Kvasir, dice: 0.9204600000000002]
[2024-10-19 02:08:25 PM-train.py-INFO:epoch: 21, dataset: CVC-ColonDB, dice: 0.7866923684210522]
[2024-10-19 02:08:38 PM-train.py-INFO:epoch: 21, dataset: ETIS-LaribPolypDB, dice: 0.7566530612244903]
[2024-10-19 02:10:41 PM-train.py-INFO:epoch: 22, dataset: CVC-300, dice: 0.8811316666666663]
[2024-10-19 02:10:42 PM-train.py-INFO:epoch: 22, dataset: CVC-ClinicDB, dice: 0.9083887096774191]
[2024-10-19 02:10:45 PM-train.py-INFO:epoch: 22, dataset: Kvasir, dice: 0.9232959999999997]
[2024-10-19 02:10:57 PM-train.py-INFO:epoch: 22, dataset: CVC-ColonDB, dice: 0.8093202631578953]
[2024-10-19 02:11:10 PM-train.py-INFO:epoch: 22, dataset: ETIS-LaribPolypDB, dice: 0.7754724489795918]
[2024-10-19 02:11:41 PM-train.py-INFO:##############################################################################best:0.8283858395989976]
[2024-10-19 02:13:11 PM-train.py-INFO:epoch: 23, dataset: CVC-300, dice: 0.8767000000000001]
[2024-10-19 02:13:13 PM-train.py-INFO:epoch: 23, dataset: CVC-ClinicDB, dice: 0.9198919354838712]
[2024-10-19 02:13:16 PM-train.py-INFO:epoch: 23, dataset: Kvasir, dice: 0.9093179999999998]
[2024-10-19 02:13:29 PM-train.py-INFO:epoch: 23, dataset: CVC-ColonDB, dice: 0.7796363157894741]
[2024-10-19 02:13:42 PM-train.py-INFO:epoch: 23, dataset: ETIS-LaribPolypDB, dice: 0.7679306122448977]
[2024-10-19 02:15:44 PM-train.py-INFO:epoch: 24, dataset: CVC-300, dice: 0.8902216666666669]
[2024-10-19 02:15:45 PM-train.py-INFO:epoch: 24, dataset: CVC-ClinicDB, dice: 0.9253629032258063]
[2024-10-19 02:15:49 PM-train.py-INFO:epoch: 24, dataset: Kvasir, dice: 0.9062549999999997]
[2024-10-19 02:16:00 PM-train.py-INFO:epoch: 24, dataset: CVC-ColonDB, dice: 0.7818886842105269]
[2024-10-19 02:16:13 PM-train.py-INFO:epoch: 24, dataset: ETIS-LaribPolypDB, dice: 0.7766418367346938]
[2024-10-19 02:18:15 PM-train.py-INFO:epoch: 25, dataset: CVC-300, dice: 0.8854183333333335]
[2024-10-19 02:18:17 PM-train.py-INFO:epoch: 25, dataset: CVC-ClinicDB, dice: 0.9233758064516128]
[2024-10-19 02:18:20 PM-train.py-INFO:epoch: 25, dataset: Kvasir, dice: 0.9187840000000002]
[2024-10-19 02:18:32 PM-train.py-INFO:epoch: 25, dataset: CVC-ColonDB, dice: 0.7828084210526313]
[2024-10-19 02:18:45 PM-train.py-INFO:epoch: 25, dataset: ETIS-LaribPolypDB, dice: 0.7966173469387755]
[2024-10-19 02:20:46 PM-train.py-INFO:epoch: 26, dataset: CVC-300, dice: 0.8863583333333336]
[2024-10-19 02:20:47 PM-train.py-INFO:epoch: 26, dataset: CVC-ClinicDB, dice: 0.9406274193548388]
[2024-10-19 02:20:51 PM-train.py-INFO:epoch: 26, dataset: Kvasir, dice: 0.8997319999999996]
[2024-10-19 02:21:03 PM-train.py-INFO:epoch: 26, dataset: CVC-ColonDB, dice: 0.7726131578947367]
[2024-10-19 02:21:16 PM-train.py-INFO:epoch: 26, dataset: ETIS-LaribPolypDB, dice: 0.7619413265306125]
[2024-10-19 02:23:23 PM-train.py-INFO:epoch: 27, dataset: CVC-300, dice: 0.880473333333333]
[2024-10-19 02:23:24 PM-train.py-INFO:epoch: 27, dataset: CVC-ClinicDB, dice: 0.923401612903226]
[2024-10-19 02:23:27 PM-train.py-INFO:epoch: 27, dataset: Kvasir, dice: 0.9128090000000002]
[2024-10-19 02:23:40 PM-train.py-INFO:epoch: 27, dataset: CVC-ColonDB, dice: 0.7749952631578949]
[2024-10-19 02:23:54 PM-train.py-INFO:epoch: 27, dataset: ETIS-LaribPolypDB, dice: 0.7694433673469392]
[2024-10-19 02:25:55 PM-train.py-INFO:epoch: 28, dataset: CVC-300, dice: 0.8986483333333336]
[2024-10-19 02:25:57 PM-train.py-INFO:epoch: 28, dataset: CVC-ClinicDB, dice: 0.9042451612903226]
[2024-10-19 02:26:00 PM-train.py-INFO:epoch: 28, dataset: Kvasir, dice: 0.8695639999999998]
[2024-10-19 02:26:12 PM-train.py-INFO:epoch: 28, dataset: CVC-ColonDB, dice: 0.7404407894736842]
[2024-10-19 02:26:25 PM-train.py-INFO:epoch: 28, dataset: ETIS-LaribPolypDB, dice: 0.7531352040816329]
[2024-10-19 02:28:28 PM-train.py-INFO:epoch: 29, dataset: CVC-300, dice: 0.8841449999999998]
[2024-10-19 02:28:29 PM-train.py-INFO:epoch: 29, dataset: CVC-ClinicDB, dice: 0.9299532258064518]
[2024-10-19 02:28:33 PM-train.py-INFO:epoch: 29, dataset: Kvasir, dice: 0.9171600000000001]
[2024-10-19 02:28:45 PM-train.py-INFO:epoch: 29, dataset: CVC-ColonDB, dice: 0.7847773684210523]
[2024-10-19 02:28:58 PM-train.py-INFO:epoch: 29, dataset: ETIS-LaribPolypDB, dice: 0.7827877551020411]
[2024-10-19 02:31:00 PM-train.py-INFO:epoch: 30, dataset: CVC-300, dice: 0.7703383333333335]
[2024-10-19 02:31:01 PM-train.py-INFO:epoch: 30, dataset: CVC-ClinicDB, dice: 0.8373016129032259]
[2024-10-19 02:31:05 PM-train.py-INFO:epoch: 30, dataset: Kvasir, dice: 0.8370650000000004]
[2024-10-19 02:31:16 PM-train.py-INFO:epoch: 30, dataset: CVC-ColonDB, dice: 0.6785573684210533]
[2024-10-19 02:31:29 PM-train.py-INFO:epoch: 30, dataset: ETIS-LaribPolypDB, dice: 0.6521260204081631]
[2024-10-19 02:33:30 PM-train.py-INFO:epoch: 31, dataset: CVC-300, dice: 0.876595]
[2024-10-19 02:33:32 PM-train.py-INFO:epoch: 31, dataset: CVC-ClinicDB, dice: 0.9390741935483867]
[2024-10-19 02:33:35 PM-train.py-INFO:epoch: 31, dataset: Kvasir, dice: 0.9144200000000002]
[2024-10-19 02:33:48 PM-train.py-INFO:epoch: 31, dataset: CVC-ColonDB, dice: 0.7816755263157901]
[2024-10-19 02:34:01 PM-train.py-INFO:epoch: 31, dataset: ETIS-LaribPolypDB, dice: 0.7906897959183672]
[2024-10-19 02:36:02 PM-train.py-INFO:epoch: 32, dataset: CVC-300, dice: 0.8525616666666667]
[2024-10-19 02:36:04 PM-train.py-INFO:epoch: 32, dataset: CVC-ClinicDB, dice: 0.9266677419354837]
[2024-10-19 02:36:07 PM-train.py-INFO:epoch: 32, dataset: Kvasir, dice: 0.906992]
[2024-10-19 02:36:19 PM-train.py-INFO:epoch: 32, dataset: CVC-ColonDB, dice: 0.7969463157894738]
[2024-10-19 02:36:33 PM-train.py-INFO:epoch: 32, dataset: ETIS-LaribPolypDB, dice: 0.7648061224489794]
[2024-10-19 02:38:35 PM-train.py-INFO:epoch: 33, dataset: CVC-300, dice: 0.8663316666666668]
[2024-10-19 02:38:36 PM-train.py-INFO:epoch: 33, dataset: CVC-ClinicDB, dice: 0.9390112903225803]
[2024-10-19 02:38:40 PM-train.py-INFO:epoch: 33, dataset: Kvasir, dice: 0.9133580000000001]
[2024-10-19 02:38:52 PM-train.py-INFO:epoch: 33, dataset: CVC-ColonDB, dice: 0.8001865789473684]
[2024-10-19 02:39:05 PM-train.py-INFO:epoch: 33, dataset: ETIS-LaribPolypDB, dice: 0.7923051020408165]
[2024-10-19 02:41:06 PM-train.py-INFO:epoch: 34, dataset: CVC-300, dice: 0.8685083333333332]
[2024-10-19 02:41:08 PM-train.py-INFO:epoch: 34, dataset: CVC-ClinicDB, dice: 0.9399096774193547]
[2024-10-19 02:41:12 PM-train.py-INFO:epoch: 34, dataset: Kvasir, dice: 0.9141070000000002]
[2024-10-19 02:41:24 PM-train.py-INFO:epoch: 34, dataset: CVC-ColonDB, dice: 0.7936249999999997]
[2024-10-19 02:41:37 PM-train.py-INFO:epoch: 34, dataset: ETIS-LaribPolypDB, dice: 0.7892571428571429]
[2024-10-19 02:43:39 PM-train.py-INFO:epoch: 35, dataset: CVC-300, dice: 0.8812216666666667]
[2024-10-19 02:43:41 PM-train.py-INFO:epoch: 35, dataset: CVC-ClinicDB, dice: 0.9364274193548388]
[2024-10-19 02:43:44 PM-train.py-INFO:epoch: 35, dataset: Kvasir, dice: 0.9176129999999997]
[2024-10-19 02:43:56 PM-train.py-INFO:epoch: 35, dataset: CVC-ColonDB, dice: 0.7585839473684214]
[2024-10-19 02:44:09 PM-train.py-INFO:epoch: 35, dataset: ETIS-LaribPolypDB, dice: 0.7596535714285717]
[2024-10-19 02:46:11 PM-train.py-INFO:epoch: 36, dataset: CVC-300, dice: 0.8830983333333331]
[2024-10-19 02:46:12 PM-train.py-INFO:epoch: 36, dataset: CVC-ClinicDB, dice: 0.9372435483870968]
[2024-10-19 02:46:16 PM-train.py-INFO:epoch: 36, dataset: Kvasir, dice: 0.9154669999999996]
[2024-10-19 02:46:28 PM-train.py-INFO:epoch: 36, dataset: CVC-ColonDB, dice: 0.7872360526315793]
[2024-10-19 02:46:41 PM-train.py-INFO:epoch: 36, dataset: ETIS-LaribPolypDB, dice: 0.787094387755102]
[2024-10-19 02:48:42 PM-train.py-INFO:epoch: 37, dataset: CVC-300, dice: 0.8900366666666669]
[2024-10-19 02:48:44 PM-train.py-INFO:epoch: 37, dataset: CVC-ClinicDB, dice: 0.9298274193548387]
[2024-10-19 02:48:47 PM-train.py-INFO:epoch: 37, dataset: Kvasir, dice: 0.916399]
[2024-10-19 02:49:03 PM-train.py-INFO:epoch: 37, dataset: CVC-ColonDB, dice: 0.7829478947368418]
[2024-10-19 02:49:18 PM-train.py-INFO:epoch: 37, dataset: ETIS-LaribPolypDB, dice: 0.7849163265306123]
[2024-10-19 02:51:26 PM-train.py-INFO:epoch: 38, dataset: CVC-300, dice: 0.8904616666666667]
[2024-10-19 02:51:28 PM-train.py-INFO:epoch: 38, dataset: CVC-ClinicDB, dice: 0.9332725806451613]
[2024-10-19 02:51:32 PM-train.py-INFO:epoch: 38, dataset: Kvasir, dice: 0.9195450000000005]
[2024-10-19 02:51:43 PM-train.py-INFO:epoch: 38, dataset: CVC-ColonDB, dice: 0.7840994736842102]
[2024-10-19 02:51:56 PM-train.py-INFO:epoch: 38, dataset: ETIS-LaribPolypDB, dice: 0.7843586734693877]
[2024-10-19 02:53:57 PM-train.py-INFO:epoch: 39, dataset: CVC-300, dice: 0.8770000000000001]
[2024-10-19 02:53:59 PM-train.py-INFO:epoch: 39, dataset: CVC-ClinicDB, dice: 0.8946483870967746]
[2024-10-19 02:54:02 PM-train.py-INFO:epoch: 39, dataset: Kvasir, dice: 0.894806]
[2024-10-19 02:54:14 PM-train.py-INFO:epoch: 39, dataset: CVC-ColonDB, dice: 0.7477071052631575]
[2024-10-19 02:54:27 PM-train.py-INFO:epoch: 39, dataset: ETIS-LaribPolypDB, dice: 0.7296964285714287]
[2024-10-19 02:56:30 PM-train.py-INFO:epoch: 40, dataset: CVC-300, dice: 0.8887216666666664]
[2024-10-19 02:56:31 PM-train.py-INFO:epoch: 40, dataset: CVC-ClinicDB, dice: 0.9366629032258066]
[2024-10-19 02:56:35 PM-train.py-INFO:epoch: 40, dataset: Kvasir, dice: 0.9136830000000004]
[2024-10-19 02:56:47 PM-train.py-INFO:epoch: 40, dataset: CVC-ColonDB, dice: 0.7821871052631586]
[2024-10-19 02:57:00 PM-train.py-INFO:epoch: 40, dataset: ETIS-LaribPolypDB, dice: 0.7795693877551021]
[2024-10-19 02:59:02 PM-train.py-INFO:epoch: 41, dataset: CVC-300, dice: 0.8651766666666669]
[2024-10-19 02:59:03 PM-train.py-INFO:epoch: 41, dataset: CVC-ClinicDB, dice: 0.9267193548387098]
[2024-10-19 02:59:07 PM-train.py-INFO:epoch: 41, dataset: Kvasir, dice: 0.9109770000000001]
[2024-10-19 02:59:18 PM-train.py-INFO:epoch: 41, dataset: CVC-ColonDB, dice: 0.7796602631578943]
[2024-10-19 02:59:31 PM-train.py-INFO:epoch: 41, dataset: ETIS-LaribPolypDB, dice: 0.7747214285714289]
[2024-10-19 03:01:32 PM-train.py-INFO:epoch: 42, dataset: CVC-300, dice: 0.8696749999999998]
[2024-10-19 03:01:33 PM-train.py-INFO:epoch: 42, dataset: CVC-ClinicDB, dice: 0.9270887096774193]
[2024-10-19 03:01:36 PM-train.py-INFO:epoch: 42, dataset: Kvasir, dice: 0.9076490000000002]
[2024-10-19 03:01:49 PM-train.py-INFO:epoch: 42, dataset: CVC-ColonDB, dice: 0.7653678947368425]
[2024-10-19 03:02:02 PM-train.py-INFO:epoch: 42, dataset: ETIS-LaribPolypDB, dice: 0.7346862244897958]
[2024-10-19 03:04:04 PM-train.py-INFO:epoch: 43, dataset: CVC-300, dice: 0.8930599999999999]
[2024-10-19 03:04:06 PM-train.py-INFO:epoch: 43, dataset: CVC-ClinicDB, dice: 0.93756935483871]
[2024-10-19 03:04:09 PM-train.py-INFO:epoch: 43, dataset: Kvasir, dice: 0.9123659999999998]
[2024-10-19 03:04:22 PM-train.py-INFO:epoch: 43, dataset: CVC-ColonDB, dice: 0.7777378947368421]
[2024-10-19 03:04:35 PM-train.py-INFO:epoch: 43, dataset: ETIS-LaribPolypDB, dice: 0.773011734693877]
[2024-10-19 03:06:37 PM-train.py-INFO:epoch: 44, dataset: CVC-300, dice: 0.8905033333333332]
[2024-10-19 03:06:38 PM-train.py-INFO:epoch: 44, dataset: CVC-ClinicDB, dice: 0.9227112903225803]
[2024-10-19 03:06:42 PM-train.py-INFO:epoch: 44, dataset: Kvasir, dice: 0.905616]
[2024-10-19 03:06:54 PM-train.py-INFO:epoch: 44, dataset: CVC-ColonDB, dice: 0.7764810526315784]
[2024-10-19 03:07:09 PM-train.py-INFO:epoch: 44, dataset: ETIS-LaribPolypDB, dice: 0.7658923469387753]
[2024-10-19 03:09:09 PM-train.py-INFO:epoch: 45, dataset: CVC-300, dice: 0.8936166666666667]
[2024-10-19 03:09:11 PM-train.py-INFO:epoch: 45, dataset: CVC-ClinicDB, dice: 0.9199387096774195]
[2024-10-19 03:09:14 PM-train.py-INFO:epoch: 45, dataset: Kvasir, dice: 0.9029860000000002]
[2024-10-19 03:09:27 PM-train.py-INFO:epoch: 45, dataset: CVC-ColonDB, dice: 0.7801894736842113]
[2024-10-19 03:09:41 PM-train.py-INFO:epoch: 45, dataset: ETIS-LaribPolypDB, dice: 0.772286224489796]
[2024-10-19 03:11:44 PM-train.py-INFO:epoch: 46, dataset: CVC-300, dice: 0.8855233333333336]
[2024-10-19 03:11:45 PM-train.py-INFO:epoch: 46, dataset: CVC-ClinicDB, dice: 0.9242596774193548]
[2024-10-19 03:11:49 PM-train.py-INFO:epoch: 46, dataset: Kvasir, dice: 0.9131159999999997]
[2024-10-19 03:12:02 PM-train.py-INFO:epoch: 46, dataset: CVC-ColonDB, dice: 0.7822181578947371]
[2024-10-19 03:12:16 PM-train.py-INFO:epoch: 46, dataset: ETIS-LaribPolypDB, dice: 0.7701377551020409]
[2024-10-19 03:14:20 PM-train.py-INFO:epoch: 47, dataset: CVC-300, dice: 0.8526283333333333]
